 GMP  , Name galaxy     ,x,RA,y,Dec,Magnitude   ,Galaxy color     ,Velocity  ,Comment
2201,          ,194.6,194.5,28.91,28.91,16.86,1.85,5852,C1
2237,          ,194.61,194.51,28.8,28.8,16.26,1.93,6664,C1
2251,          ,194.62,194.52,29.03,29.03,17.35,1.79,7128,C1
2252,          ,194.62,194.52,28.82,28.82,16.1,1.85,5837,C1
2289,          ,194.63,194.53,29.06,29.06,18.43,1.6,7391,C1
2348,          ,194.66,194.56,28.9,28.9,15.85,1.91,6816,C1
2415,          ,194.68,194.58,29.12,29.12,19.97,2.35,53501,C1
2423,          ,194.69,194.59,29.05,29.05,18.5,NaN,6459,C1
2551,          ,194.73,194.63,29.01,29.01,16.85,2.99,7537,C1
2555,          ,194.73,194.63,28.99,28.99,19.63,1.74,50223,C1
2667,          ,194.77,194.67,29.06,29.06,19.69,2.03,24169,C1
2683,          ,194.78,194.68,28.94,28.94,19.73,NaN,73311,C1
*3254 ,          ,194.79,194.69,29.13,29.13,NaN,NaN,-118,C1
2764,          ,194.8,194.7,29.12,29.12,19,1.77,6659,C1
2790,          ,194.81,194.71,29.08,29.08,19.66,2.29,81697,C1
2794,NGC4898B  ,194.81,194.71,28.96,28.96,16.19,NaN,6504,C1
2798,NGC4898A  ,194.81,194.71,28.96,28.96,14.85,NaN,6811,C1
2805,          ,194.81,194.71,29.06,29.06,16.57,1.78,6064,C1
      ,          ,194.82,194.72,29.09,29.09,NaN,NaN,81993,C1
      ,          ,194.82,194.72,28.8,28.8,NaN,NaN,-189,C1
2878,          ,194.83,194.73,28.77,28.77,20.09,2.28,69204,C1
2879,          ,194.83,194.73,29.07,29.07,18.05,1.75,7188,C1
*3401 ,          ,194.83,194.73,28.82,28.82,19.37,2.14,45,C1
2931,          ,194.85,194.75,28.93,28.93,19.2,1.89,7837,C1
2946,          ,194.85,194.75,28.98,28.98,16.31,NaN,7807,C1
2964,          ,194.85,194.75,28.98,28.98,17.74,NaN,7788,C1
2991,          ,194.86,194.76,29.02,29.02,19.82,2.27,60023,C1
*3512 ,          ,194.87,194.77,28.79,28.79,19.62,2.06,95,C1
3018,          ,194.87,194.77,28.99,28.99,19.31,1.94,7619,C1
      ,          ,194.87,194.77,28.85,28.85,NaN,NaN,434,C1
      ,          ,194.87,194.77,29,29,NaN,NaN,123,C1
3043,          ,194.88,194.78,29.1,29.1,19.55,1.85,2998,C1
      ,          ,194.88,194.78,28.87,28.87,NaN,NaN,47394,C1
3058,          ,194.88,194.78,29.06,29.06,17.71,1.78,5713,C1
3080,          ,194.89,194.79,28.92,28.92,19.6,1.85,7248,C1
*3628 ,          ,194.9,194.8,29.11,29.11,NaN,NaN,-241,C1
*3636 ,          ,194.9,194.8,28.83,28.83,18.33,1.18,429,C1
3149,          ,194.92,194.82,28.85,28.85,19.79,2.45,49784,C1
3177,          ,194.93,194.83,28.81,28.81,19.33,1.33,38120,C1
3201,NGC4876   ,194.93,194.83,28.91,28.91,15.51,1.91,6629,C1
3275,          ,194.95,194.85,28.85,28.85,18.66,NaN,3834,C1
3284,          ,194.95,194.85,28.87,28.87,20,NaN,53206,C1
      ,          ,194.95,194.85,28.85,28.85,NaN,NaN,9276,C1
3311,          ,194.96,194.86,28.87,28.87,18.89,1.68,6137,C1
3317,          ,194.96,194.86,29.04,29.04,19.67,2.09,82378,C1
3325,          ,194.96,194.86,28.91,28.91,19.66,2,8940,C1
3352,NGC4872   ,194.97,194.87,28.95,28.95,14.79,1.78,7249,C1
3376,          ,194.98,194.88,28.92,28.92,18.24,NaN,6815,C1
3421,          ,194.99,194.89,29.1,29.1,19.4,1.91,-23,C1
3424,          ,194.99,194.89,28.94,28.94,18.98,NaN,5613,C1
3425,          ,194.99,194.89,28.81,28.81,19.19,1.72,6710,C1
3449,          ,194.99,194.89,28.84,28.84,20.46,2.21,69256,C1
3447,          ,194.99,194.89,29.06,29.06,19.07,NaN,82309,C1
*3923 ,          ,195,194.9,28.77,28.77,16.45,1.6,-159,C1
3473,          ,195,194.9,28.86,28.86,18.92,1.64,5061,C1
3501,          ,195.01,194.91,28.9,28.9,19.46,1.61,18388,C1
3510,NGC4869   ,195.01,194.91,28.91,28.91,14.97,2.06,6992,C1
*3975 ,          ,195.01,194.91,28.79,28.79,18.55,1.72,-88,C1
3522,          ,195.01,194.91,28.9,28.9,16.39,1.84,5126,C1
3523,          ,195.01,194.91,29.13,29.13,19.27,NaN,57890,C1
3534,          ,195.02,194.92,28.97,28.97,17.2,1.77,6411,C1
3554,          ,195.02,194.92,29.07,29.07,17.2,1.87,7125,C1
3557,          ,195.02,194.92,28.89,28.89,16.35,1.81,6507,C1
3561,NGC4865   ,195.02,194.92,29.08,29.08,14.54,1.83,4609,C1
      ,          ,195.02,194.92,28.77,28.77,NaN,NaN,-114,C1
3587,          ,195.03,194.93,29.09,29.09,19.47,2.2,82317,C1
3606,          ,195.03,194.93,28.9,28.9,19.54,1.65,14990,C1
3615,          ,195.03,194.93,28.99,28.99,18.82,2.22,6317,C1
3616,          ,195.04,194.94,28.77,28.77,19.99,1.87,6315,C1
3623,          ,195.04,194.94,29,29,19.5,1.22,12082,C1
3633,          ,195.04,194.94,28.81,28.81,19.46,1.72,125,C1
      ,          ,195.04,194.94,28.85,28.85,NaN,NaN,109,C1
      ,          ,195.05,194.95,28.82,28.82,NaN,NaN,6593,C1
3702,          ,195.06,194.96,28.89,28.89,19.72,2.42,85466,C1
*4149 ,          ,195.06,194.96,29.16,29.16,NaN,NaN,-272,C1
3768,          ,195.07,194.97,29.07,29.07,18.74,1.45,27066,C1
3772,          ,195.07,194.97,28.85,28.85,18.55,1.09,20151,C1
3788,          ,195.08,194.98,28.79,28.79,18.82,1.67,25279,C1
3792,NGC4860   ,195.08,194.98,29.12,29.12,14.69,1.93,7886,C1
3816,NGC4858   ,195.09,194.99,29.12,29.12,15.64,NaN,9436,C1
*4248 ,          ,195.09,194.99,28.87,28.87,NaN,NaN,94,C1
3896,IC3949    ,195.11,195.01,28.83,28.83,15.13,1.75,7378,C1
3895,          ,195.11,195.01,28.82,28.82,17.74,1.72,8535,C1
3916,          ,195.11,195.01,28.83,28.83,19.81,2.2,47310,C1
3922,          ,195.11,195.01,29.15,29.15,19.98,2.38,45850,C1
3935,          ,195.12,195.02,29.13,29.13,16.59,1.93,7031,C1
3966,          ,195.13,195.03,28.9,28.9,19.4,2.15,47719,C1
3969,          ,195.13,195.03,29.01,29.01,19.11,2.06,7469,C1
3980,          ,195.13,195.03,28.82,28.82,19.39,2.19,35268,C1
4005,          ,195.14,195.04,28.84,28.84,19.83,2.36,47509,C1
4034,          ,195.15,195.05,28.88,28.88,19.01,1.94,8415,C1
4037,          ,195.15,195.05,28.78,28.78,19.73,2.44,48108,C1
4040,          ,195.15,195.05,29.09,29.09,19.57,NaN,20075,C1
4063,          ,195.16,195.06,28.92,28.92,19.32,2.38,47692,C1
4081,          ,195.17,195.07,28.92,28.92,18.91,2.15,49968,C1
4102,          ,195.17,195.07,28.85,28.85,20.48,2.15,47595,C1
4108,          ,195.17,195.07,28.94,28.94,19.56,2.37,5575,C1
4130,IC3943    ,195.18,195.08,29.11,29.11,15.55,1.97,6704,C1
4153,          ,195.19,195.09,29.09,29.09,20.42,1.52,19993,C1
4193,          ,195.2,195.1,28.85,28.85,19.85,2.53,47625,C1
4217,          ,195.2,195.1,28.9,28.9,19.37,1.71,6804,C1
      ,          ,195.2,195.1,28.79,28.79,NaN,NaN,68427,C1
4230,          ,195.2,195.1,29.02,29.02,15.19,1.87,7198,C1
4246,          ,195.21,195.11,28.82,28.82,18.23,1.65,25384,C1
      ,          ,195.21,195.11,29.1,29.1,NaN,NaN,26650,C1
      ,          ,195.22,195.12,28.79,28.79,NaN,NaN,25630,C1
4281,          ,195.22,195.12,29.13,29.13,17.08,1.46,8473,C1
      ,          ,195.23,195.13,28.81,28.81,NaN,NaN,56,C1
4308,          ,195.23,195.13,29.15,29.15,16.76,1.83,6738,C1
4313,NGC4851   ,195.23,195.13,29.15,29.15,16,1.95,7781,C1
4315,NGC4850   ,195.23,195.13,28.97,28.97,15.39,1.87,6078,C1
4314,          ,195.23,195.13,28.89,28.89,17.66,1.88,7294,C1
4341,          ,195.25,195.15,28.76,28.76,17.33,1.84,5434,C1
4345,          ,195.25,195.15,29.07,29.07,19.13,2.43,47174,C1
4355,          ,195.25,195.15,29.04,29.04,18.22,1.82,6067,C1
4379,          ,195.26,195.16,29.13,29.13,16.08,1.82,7336,C1
      ,          ,195.27,195.17,29.09,29.09,NaN,NaN,-57,C1
4420,          ,195.27,195.17,28.94,28.94,17.6,1.86,8509,C1
4424,          ,195.27,195.17,28.86,28.86,19.13,2.04,6873,C1
4480,          ,195.3,195.2,29.16,29.16,19.9,1.45,45410,C1
4481,          ,195.3,195.2,29.01,29.01,18.44,1.27,20103,C1
4499,          ,195.3,195.2,28.82,28.82,16.1,1.82,7095,C1
4503,          ,195.3,195.2,28.97,28.97,16.83,1.85,20589,C1
4510,          ,195.3,195.2,28.98,28.98,18.51,1.96,6609,C1
4516,          ,195.31,195.21,28.85,28.85,18.08,1.99,19700,C1
4519,          ,195.31,195.21,28.85,28.85,17.61,1.81,5681,C1
4553,          ,195.32,195.22,28.91,28.91,19.5,1.5,19714,C1
4555,          ,195.32,195.22,29.06,29.06,16.07,1.5,8299,C1
*4924 ,          ,195.33,195.23,29.13,29.13,15.8,1.4,18,C1
4570,          ,195.33,195.23,28.99,28.99,17.25,1.07,4649,C1
      ,          ,195.34,195.24,29.1,29.1,NaN,NaN,-128,C1
4614,          ,195.35,195.25,29.01,29.01,19.78,2.19,56849,C1
4626,          ,195.35,195.25,28.88,28.88,16.6,1.93,7046,C1
*4998 ,          ,195.35,195.25,29.12,29.12,19.94,1.57,45075,C1
4647,          ,195.36,195.26,28.99,28.99,19.77,2.13,57052,C1
4653,          ,195.36,195.26,28.88,28.88,15.67,1.85,5805,C1
4656,          ,195.36,195.26,28.77,28.77,17.62,1.82,5764,C1
4659,          ,195.36,195.26,28.85,28.85,19.8,2.06,30659,C1
4664,          ,195.36,195.26,28.83,28.83,16.26,2.06,6118,C1
4666,          ,195.36,195.26,29.14,29.14,17.35,1.8,6424,C1
      ,          ,195.38,195.28,29.08,29.08,NaN,NaN,256,C1
2347,D098,195.21,195.21,28.9,28.9,15.85,1.91,6848,c1
2374,"NGC 4911, D082",195.2,195.2,28.79,28.79,13.91,1.67,7987,
2376,,195.2,195.2,28.9,28.9,18.23,1.77,6049,
2385,,195.03,195.03,28.84,28.84,17.62,1.82,7207,
2390,"IC 4051, D143",195.03,195.03,29.01,29.01,14.47,1.82,5000,
2393,D062,195.02,195.02,28.78,28.78,16.51,1.9,8302,
2399,,195.02,195.02,28.97,28.97,18.78,9.99,5837,
2408,,195.02,195.02,28.83,28.83,18.49,1.73,nan,c1
2417,"NGC 4908, D167",195.01,195.01,29.04,29.04,14.91,1.87,8742,
2421,,195.01,195.01,28.74,28.74,17.98,1.9,8150,
2440,"IC 4045, D168",195,195,29.09,29.09,15.17,1.85,6899,c1
2441,"NGC 4907, D205",195,195,29.16,29.16,14.65,1.74,5773,c1
2457,D117,195,195,28.92,28.92,16.56,1.88,8604,c1
2478,,194.99,194.99,28.84,28.84,18.09,1.86,8752,c1
2489,D191,194.99,194.99,29.1,29.1,16.69,1.77,6582,c1
2510,D116,194.98,194.98,28.96,28.96,16.13,1.9,8353,c1
2516,"IC 4042, D144",194.98,194.98,28.97,28.97,15.34,1.86,6354,c1
2519,,194.98,194.98,29.12,29.12,18.68,1.72,6216,c1
2529,,194.98,194.98,29.04,29.04,18.63,1.87,8826,c1
2531,,194.98,194.98,28.89,28.89,17.63,1.7,18442,c1
2535,"IC 4041, D145",194.98,194.98,29,29,15.93,1.9,7059,c1
2541,"NGC 4906, D118",194.97,194.97,28.92,28.92,15.44,1.98,7497,c1
2559,"IC 4040, D169",194.96,194.96,29.06,29.06,15.44,9.99,7801,c1
2584,D192,194.96,194.96,29.15,29.15,16.14,1.79,5465,c1
2585,,194.96,194.96,28.94,28.94,18.44,1.73,6914,c1
2591,D051,194.95,194.95,28.93,28.93,18.5,1.86,8356,c1
2603,,194.95,194.95,28.82,28.82,17.36,1.8,8152,c1
2615,D063,194.94,194.94,28.77,28.77,16.97,1.9,6679,c1
2619,,194.94,194.94,29.26,29.26,18.38,1.71,6279,c1
2633,,194.94,194.94,29.16,29.16,18.48,1.75,-359,c1
2651,D147,194.93,194.93,28.97,28.97,16.19,1.85,7700,
2654,D119,195.09,195.09,28.96,28.96,16.38,1.9,6984,
2692,,195.08,195.08,28.93,28.93,18.2,1.78,7962,
2711,,195.08,195.08,29.21,29.21,18.9,9.99,19792,
2727,"IC 4026, D170",195.07,195.07,29.05,29.05,15.73,1.77,8161,
2728,,195.07,195.07,29.25,29.25,18.15,1.73,7965,
2736,,195.07,195.07,28.9,28.9,18.21,1.76,4869,
2753,,195.07,195.07,28.84,28.84,18.1,1.86,7767,
2777,,195.06,195.06,29.01,29.01,18.21,1.71,6202,
2778,,195.06,195.06,28.94,28.94,16.69,1.81,5122,
2783,,195.06,195.06,28.82,28.82,17.37,1.83,5318,
2784,,195.06,195.06,29.1,29.1,18.36,1.81,7838,
2787,,195.06,195.06,29.06,29.06,18.46,1.65,9873,
2795,"NGC 4895, D206",195.06,195.06,29.2,29.2,14.38,9.99,8469,
2799,,195.06,195.06,28.99,28.99,18.7,9.99,6136,
2800,,195.06,195.06,28.78,28.78,18.38,9.99,7015,
2815,"NGC 4894, D122",195.05,195.05,28.97,28.97,15.87,1.74,4636,
2839,"IC 4021, D172",195.05,195.05,29.04,29.04,16.01,1.75,5724,
2852,,195.04,195.04,28.87,28.87,17.8,1.79,7405,
2856,,195.04,195.04,29.05,29.05,18.23,1.57,8134,
2861,D173,195.04,195.04,29.08,29.08,16.26,1.85,7511,
2866,D064,195.04,195.04,28.78,28.78,16.9,1.79,7030,
2895,,195.03,195.03,28.96,28.96,18.64,2.04,26236,
2897,D099,195.03,195.03,28.86,28.86,16.98,1.53,9889,
2910,D100,195.02,195.02,28.87,28.87,16.25,1.41,5136,
2912,"NGC 4895A, D207",195.03,195.03,29.17,29.17,16.07,1.8,6752,
2914,,195.02,195.02,29.16,29.16,17.18,1.81,7436,
2921,"NGC 4889, D148",195.02,195.02,28.98,28.98,12.62,1.91,6508,
2922,"IC 4012, D174",195.02,195.02,29.08,29.08,15.93,1.86,7207,
2923,,195.02,195.02,28.77,28.77,17.65,9.99,8664,
2929,,195.02,195.02,28.96,28.96,18.66,1.9,6266,
2940,"IC 4011, D150",195.01,195.01,29,29,16.08,1.82,7244,
2943,,195.01,195.01,29.25,29.25,17.66,9.99,13298,
2945,D065,195.01,195.01,28.78,28.78,16.15,1.77,6150,
2956,D084,195.01,195.01,28.81,28.81,16.2,1.98,6566,
2960,,195.01,195.01,29.02,29.02,16.78,1.74,5827,
2975,"NGC 4886, D151",195.01,195.01,28.99,28.99,14.83,1.76,6363,
2976,,195.01,195.01,29.16,29.16,18.14,1.94,6693,
2985,,195.01,195.01,28.96,28.96,17.87,1.65,5317,
2989,,195,195,29.24,29.24,17.05,9.99,7675,
3012,,195,195,28.73,28.73,17.49,1.83,8033,
3017,,194.99,194.99,28.95,28.95,17.91,1.65,6965,
3034,,194.99,194.99,28.94,28.94,18.06,1.7,5994,
3055,"NGC 4881, D217",194.98,194.98,29.25,29.25,14.73,1.87,6757,
3068,D123,194.98,194.98,28.93,28.93,16.47,1.93,7716,
3071,,194.98,194.98,28.75,28.75,17.17,1.18,8909,
3073,"NGC 4883, D175",194.98,194.98,29.03,29.03,15.43,1.89,8130,
3084,D193,194.97,194.97,29.13,29.13,16.43,1.82,7538,
3092,D085,194.97,194.97,28.8,28.8,17.55,1.59,8094,
3098,,194.97,194.97,28.97,28.97,18.63,1.74,6618,
3113,,194.96,194.96,29.1,29.1,17.82,1.81,7601,
3121,,194.96,194.96,29.07,29.07,17.34,1.76,7418,
3126,,194.96,194.96,28.83,28.83,17.55,1.82,7906,
3129,,194.96,194.96,29.14,29.14,17.94,1.71,6815,
3133,,194.96,194.96,28.92,28.92,17.23,1.92,9770,
3146,,194.95,194.95,28.98,28.98,18.54,1.58,5312,
3154,,194.95,194.95,29.1,29.1,18.64,1.68,nan,
3160,,194.94,194.94,29.05,29.05,18.88,9.99,9546,
3166,,194.94,194.94,28.99,28.99,18.37,1.79,8443,
3170,"IC 3998, D152",194.94,194.94,28.97,28.97,15.7,1.9,9399,
3172,,194.94,194.94,29.27,29.27,18.69,1.83,27401,
3178,D101,194.94,194.94,28.86,28.86,16.18,1.84,7991,
3192,,194.94,194.94,28.74,28.74,18.17,1.49,5959,
3196,,194.93,194.93,28.89,28.89,18.35,1.82,6847,
3204,,194.93,194.93,29.18,29.18,18.54,1.88,8340,
3205,,194.93,194.93,28.87,28.87,17.61,1.83,6237,
3206,D126,194.93,194.93,28.96,28.96,16.36,1.79,6869,
3213,D153,194.93,194.93,28.99,28.99,16.14,1.83,6752,
3222,D125,194.93,194.93,28.92,28.92,16.47,1.75,6925,
3225,,194.93,194.93,28.86,28.86,18.33,1.7,16911,
3245,,194.92,194.92,29.19,29.19,18.42,2.18,29670,
3248,,194.92,194.92,29.14,29.14,18.75,1.78,7519,
3254,D127,194.92,194.92,28.97,28.97,16.57,1.84,7549,
3258,,194.92,194.92,29.18,29.18,18.61,1.68,32977,
3262,D102,194.92,194.92,28.85,28.85,16.77,1.82,3690,
3269,D128,194.92,194.92,28.95,28.95,16.12,1.75,7860,
3291,D154,194.91,194.91,28.99,28.99,16.41,1.78,6927,
3292,,194.91,194.91,29,29,17.7,1.85,4890,
3296,"NGC 4875, D104",194.91,194.91,28.91,28.91,15.88,1.96,8005,
3298,,194.91,194.91,28.78,28.78,17.26,1.79,6833,
3302,,194.91,194.91,29.17,29.17,17.33,1.68,5617,
3312,,194.91,194.91,29.02,29.02,18.68,1.78,7293,
3313,,194.91,194.91,28.83,28.83,17.53,1.83,6262,
3329,"NGC 4874, D129",194.9,194.9,28.96,28.96,12.78,9.99,7166,
3336,,194.9,194.9,28.91,28.91,18.47,9.99,13278,
3339,,194.9,194.9,28.86,28.86,17.54,1.78,6279,
3340,,194.9,194.9,28.93,28.93,18.54,1.93,4193,
3367,"NGC 4873, D155",194.89,194.89,28.98,28.98,15.15,1.91,5834,
3383,,194.89,194.89,28.86,28.86,18.5,1.86,4640,
3387,,194.89,194.89,29.1,29.1,18.22,1.7,7433,
3390,D176,194.89,194.89,29.05,29.05,15.89,1.75,6892,
3392,,194.88,194.88,28.95,28.95,18.07,1.44,nan,
3400,"IC 3973, D103",194.88,194.88,28.88,28.88,15.32,1.88,4722,
3403,D087,194.88,194.88,28.79,28.79,16.87,1.79,7790,
3406,,194.88,194.88,29.02,29.02,18.76,1.76,7166,
3414,"NGC 4871, D131",194.88,194.88,28.96,28.96,14.89,1.9,6788,
3423,"IC 3976, D088",194.88,194.88,28.85,28.85,15.8,1.95,6819,
3433,D177,194.88,194.88,29.04,29.04,16.56,1.79,5542,
3439,D178,194.88,194.88,29.09,29.09,16.72,1.81,5641,
3448,,194.87,194.87,29.23,29.23,18.39,2.28,29731,
3463,,194.87,194.87,28.79,28.79,18.09,1.87,6552,
3471,D156,194.87,194.87,29,29,16.45,9.99,6708,
3475,,194.87,194.87,29.29,29.29,17.21,1.7,7977,
3481,,194.87,194.87,29.19,29.19,17.69,1.68,7718,
3482,,194.87,194.87,29.08,29.08,18.66,1.85,nan,
3484,D157,194.86,194.86,28.97,28.97,16.26,1.81,6119,
3486,,194.86,194.86,28.93,28.93,17.73,1.82,7840,
3487,D132,194.86,194.86,28.97,28.97,16.63,1.88,7675,
3489,,194.86,194.86,29,29,17.93,9.99,5506,
3493,D067,194.86,194.86,28.74,28.74,16.5,1.94,6033,
3565,,194.84,194.84,28.97,28.97,18.44,1.84,7171,
3567,,194.84,194.84,28.97,28.97,18.71,1.77,nan,
3615,,194.83,194.83,28.99,28.99,18.82,2.22,6317,
3639,"NGC 4867, D133",194.83,194.83,28.97,28.97,15.44,1.83,4805,
3645,,194.82,194.82,28.9,28.9,18.64,1.86,6417,
3656,D180,194.82,194.82,29.08,29.08,15.53,1.77,7815,
3660,"IC 3963, D068",194.82,194.82,28.77,28.77,15.76,1.87,6853,
3664,"NGC 4864, D159",194.82,194.82,28.98,28.98,14.7,9.99,6812,
3681,,194.81,194.81,29.01,29.01,18.01,1.73,6913,
3706,,194.81,194.81,28.87,28.87,17.61,1.85,6891,
3707,,194.81,194.81,29.04,29.04,17.76,1.82,7212,
3719,,194.8,194.8,28.9,28.9,18.29,1.91,7812,
3730,"IC 3959, D069",194.8,194.8,28.78,28.78,15.27,1.94,7044,
3733,"IC 3960, D109",194.8,194.8,28.86,28.86,15.85,1.89,6600,
3739,"IC 3957, D070",194.8,194.8,28.77,28.77,15.88,1.87,6352,
3750,,194.79,194.79,28.77,28.77,18.08,1.91,6267,
3761,"IC 3955, D160",194.79,194.79,29,29,15.57,1.88,7664,
3780,,194.79,194.79,29.05,29.05,17.89,1.85,5080,
3782,D108,194.79,194.79,28.91,28.91,16.55,1.85,6426,
3794,D134,194.79,194.79,28.96,28.96,17.37,1.98,6956,
3851,D135,194.77,194.77,28.97,28.97,16.98,1.86,8283,
3855,,194.77,194.77,28.93,28.93,18.05,1.79,5564,
3882,D071,194.76,194.76,28.79,28.79,16.97,1.85,6893,
3895,,194.76,194.76,28.82,28.82,17.74,1.72,8651,
3914,D136,194.75,194.75,28.96,28.96,16.57,1.81,5661,
3925,,194.75,194.75,28.8,28.8,18,2,6448,
3943,,194.74,194.74,28.81,28.81,16.93,1.88,5507,
3958,"IC 3947, D072",194.74,194.74,28.79,28.79,15.94,1.91,5655,
3972,D181,194.74,194.74,29.08,29.08,16.52,1.87,6046,
3973,,194.74,194.74,29,29,18.66,1.86,6715,
3982,,194.73,194.73,29.05,29.05,19.4,2.46,45675,
3993,,194.73,194.73,28.91,28.91,19.02,2.36,47234,
3997,"IC 3946, D091",194.73,194.73,28.81,28.81,15.28,1.95,5879,
4003,,194.73,194.73,29.02,29.02,18.6,1.81,7074,
4024,,194.72,194.72,28.9,28.9,17.97,2.39,47492,
4035,,194.72,194.72,28.75,28.75,18.49,1.82,6657,
4060,,194.71,194.71,28.76,28.76,17.57,1.31,8703,
4063,,194.7,194.7,28.92,28.92,19.32,2.38,47692,
4081,,194.7,194.7,28.92,28.92,18.91,2.15,50090,
4083,,194.7,194.7,28.83,28.83,17.82,1.91,6178,
4103,,194.69,194.69,28.95,28.95,17.74,1.76,6017,
4118,,194.69,194.69,28.82,28.82,18.31,1.56,5387,
4129,,194.68,194.68,28.85,28.85,18.54,1.92,6088,
4141,,194.68,194.68,28.87,28.87,18.71,1.73,nan,
4175,,194.67,194.67,28.84,28.84,18.65,1.85,4628,
4200,D182,194.67,194.67,29.05,29.05,16.84,1.72,5638,
4205,,194.67,194.67,28.85,28.85,19.45,2.6,62822,
1144,,195.020625,195.020625,27.55291111,28.55291111,18.152,2.503,90300,
1230,,195.1145833,195.1145833,27.55446944,28.55446944,19.55,1.97,157320,
