 GMP  , Name galaxy     ,x,RA,y,Dec,Magnitude   ,Galaxy color     ,Velocity  ,Comment
84069,,195.1954167,195.1954167,28.17821389,29.17821389,18.088,2.398,67140,
84817,,195.203375,195.203375,28.15820556,29.15820556,13.283,1.557,5730,C1
85354,,194.8574167,194.8574167,28.18694167,29.18694167,16.376,1.512,7710,C1
85644,,195.181375,195.181375,28.20324167,29.20324167,18.129,1.704,53160,
86791,,194.9942917,194.9942917,28.20843889,29.20843889,19.509,1.42,67350,
87896,,194.9719583,194.9719583,28.21198056,29.21198056,19.746,1.28,66780,
88083,,194.6556667,194.6556667,28.21934444,29.21934444,17.61,1.55,6840,C1
88409,,195.1056667,195.1056667,28.22916389,29.22916389,18.012,1.505,56280,
88550,,194.6715,194.6715,28.2289,29.2289,18.79,1.54,46260,
89413,,194.72975,194.72975,28.23389444,29.23389444,19.136,1.195,55230,
89537,,194.9966667,194.9966667,28.23354722,29.23354722,19.593,1.49,57990,
90085,,194.7574167,194.7574167,28.22526667,29.22526667,13.998,1.527,8040,C1
90411,,195.074875,195.074875,28.20205556,29.20205556,12.99,1.628,8460,C1
90667,,195.0124583,195.0124583,28.24026111,29.24026111,16.049,1.225,7680,C1
91332,,194.8125,194.8125,28.25082222,29.25082222,16.604,0.996,7350,C1
92149,,194.965625,194.965625,28.25319444,29.25319444,18.836,1.442,8700,C1
92208,,195.0849167,195.0849167,28.26106944,29.26106944,18.406,1.866,68850,
92731,,195.210125,195.210125,28.26975556,29.26975556,19.222,1.918,71790,
93075,,194.9430833,194.9430833,28.26950556,29.26950556,18.545,1.676,27720,
93203,,194.9907917,194.9907917,28.24658333,29.24658333,13.458,1.681,6780,C1
93395,,194.8317917,194.8317917,28.27403056,29.27403056,19.533,1.405,5790,C1
94045,,194.8650833,194.8650833,28.27582222,29.27582222,19.548,1.399,5700,C1
94638,,194.9439583,194.9439583,28.27485556,29.27485556,17.131,1.817,27390,
95084,,194.827375,194.827375,28.28205,29.28205,18.385,1.46,7020,C1
95392,,194.7904167,194.7904167,28.287375,29.287375,18.249,1.874,6810,C1
95411,,195.1532083,195.1532083,28.29321111,29.29321111,19.678,1.519,67050,
96302,,194.8588333,194.8588333,28.28743889,29.28743889,15.812,1.473,8010,C1
96453,,194.8896667,194.8896667,28.2943,29.2943,19.362,1.258,41430,
96693,,194.7274583,194.7274583,28.30218889,29.30218889,18.572,1.388,49860,
97184,,195.1175,195.1175,28.30594722,29.30594722,19.857,1.225,28980,
98259,,195.0882917,195.0882917,28.30614167,29.30614167,19.278,1.691,53490,
98788,,194.769875,194.769875,28.30848611,29.30848611,18.772,1.652,48060,
99493,,194.7596667,194.7596667,28.31650833,29.31650833,17.609,1.275,20280,
99500,,195.0345833,195.0345833,28.32344167,29.32344167,18.388,2.135,56910,
100395,,194.891625,194.891625,28.32508056,29.32508056,17.743,2.491,54500,
101376,,195.011125,195.011125,28.32642778,29.32642778,18.194,2.164,5661,
101990,,195.0072083,195.0072083,28.33291944,29.33291944,17.89,1.559,53610,
102380,,194.99575,194.99575,28.368975,29.368975,18.931,1.94,54180,
102739,,195.1279583,195.1279583,28.34638056,29.34638056,13.527,1.604,5910,C1
102755,,194.9447083,194.9447083,28.37098333,29.37098333,17.858,2.5,66780,
103366,,194.979375,194.979375,28.33686111,29.33686111,16.882,2.422,7830,C1
104960,,195.076875,195.076875,28.34833611,29.34833611,18.375,2.406,64410,
105280,,195.184125,195.184125,28.33724722,29.33724722,14.346,1.661,7890,C1
105397,,194.7322917,194.7322917,28.35376667,29.35376667,18.086,1.625,6300,C1
105567,,194.7260833,194.7260833,28.37487778,29.37487778,18.491,2.199,42900,
3089,,194.7792917,194.7792917,28.36259722,29.36259722,18.489,1.479,17160,
3137,,195.216875,195.216875,28.36615833,29.36615833,13.497,1.72,7650,C1
3160,,194.6017083,194.6017083,26.72956667,27.72956667,20.284,2.006,132300,c3
3531,,194.1131667,194.1131667,26.72719722,27.72719722,18.493,1.626,90450,
3611,,194.5940417,194.5940417,26.72835,27.72835,19.375,2.845,95430,
6170,,194.4464167,194.4464167,26.72873056,27.72873056,18.367,1.256,53160,
8304,,194.0797917,194.0797917,26.72565,27.72565,16.864,1.184,23700,
9487,,194.57975,194.57975,26.73445556,27.73445556,17.584,1.2,21240,
12996,,194.1541667,194.1541667,26.74247222,27.74247222,17.999,1.577,6090,C3
18086,,194.180125,194.180125,26.74210278,27.74210278,15.863,1.495,6990,C3
20798,,194.458625,194.458625,26.76410278,27.76410278,18.468,1.582,57060,
21775,,194.5421667,194.5421667,26.77686944,27.77686944,17.767,1.47,6750,C3
23822,,194.5295833,194.5295833,26.78727778,27.78727778,16.371,1.401,7260,C3
25583,,194.393375,194.393375,26.791125,27.791125,18.065,1.679,69990,
27346,,194.092,194.092,26.79826667,27.79826667,19.141,1.722,100080,
27608,,194.463875,194.463875,26.80247778,27.80247778,17.947,1.114,39990,
29341,,194.6049583,194.6049583,26.81107778,27.81107778,18.003,0.991,39900,
30970,,194.59525,194.59525,26.81085833,27.81085833,17.801,1.16,39810,
32850,,194.3444167,194.3444167,26.81498889,27.81498889,17.166,1.761,25500,
37204,,194.2655833,194.2655833,26.82565833,27.82565833,19.44,1.398,70740,
39056,,194.4801667,194.4801667,26.83095,27.83095,19.024,1.297,8250,C3
39839,,194.551875,194.551875,26.85355833,27.85355833,18.88,1.441,64320,
40422,,194.4293333,194.4293333,26.85250556,27.85250556,14.426,1.344,6330,C3
43386,,194.4755,194.4755,26.86485278,27.86485278,17.759,1.905,89880,
43814,,194.5214583,194.5214583,26.86936667,27.86936667,19.501,1.377,68760,
47483,,194.2617083,194.2617083,26.88272222,27.88272222,18.892,1.809,80970,
48397,,194.5101667,194.5101667,26.85954722,27.85954722,13.403,1.366,7350,C3
50207,,194.6194583,194.6194583,26.90041389,27.90041389,19.126,1.808,73800,
50320,,194.6420417,194.6420417,26.89997778,27.89997778,18.174,1.374,8130,C3
50945,,194.090375,194.090375,26.91043611,27.91043611,19.376,1.688,75000,
51083,,194.150125,194.150125,26.90495556,27.90495556,16.436,1.421,7920,C3
52152,,194.21325,194.21325,26.89907778,27.89907778,14.243,1.281,6300,C3
53233,,194.5384167,194.5384167,26.91371667,27.91371667,18.658,1.319,43710,
53772,,194.4330833,194.4330833,26.91963889,27.91963889,19.672,1.481,70680,
55692,,194.2534167,194.2534167,26.92123611,27.92123611,18.473,1.277,6810,C3
56451,,194.5844167,194.5844167,26.92067778,27.92067778,16.934,1.241,6840,C3
59497,,194.51325,194.51325,26.91608056,27.91608056,14.506,1.412,8250,C3
64021,,194.1498333,194.1498333,26.93747222,27.93747222,19.037,1.537,70080,
64250,,194.5541667,194.5541667,26.94960278,27.94960278,18.016,1.466,6660,C3
64960,,194.2957917,194.2957917,26.97601389,27.97601389,20.426,0.767,43710,
65565,,194.4480833,194.4480833,26.97825556,27.97825556,19.237,1.203,42420,
65832,,194.391125,194.391125,26.98049167,27.98049167,18.656,1.599,86100,
66844,,194.1215,194.1215,26.95720833,27.95720833,13.904,1.306,7050,C3
67093,,194.3272917,194.3272917,26.97964722,27.97964722,17.455,1.418,7320,C3
68750,,194.5799167,194.5799167,26.98851389,27.98851389,18.91,1.413,65340,
70063,,194.6324583,194.6324583,26.99125833,27.99125833,19.097,1.605,17520,
70459,,194.628875,194.628875,26.99478889,27.99478889,17.473,0.787,7470,C3
71754,,194.482375,194.482375,27.00078611,28.00078611,19.553,1.181,11880,
73313,,194.4194167,194.4194167,27.00374667,28.00374667,17.029,0.646,20430,
73824,,194.2402917,194.2402917,27.00790278,28.00790278,18.412,1.952,66000,
75314,,194.6611667,194.6611667,27.01336944,28.01336944,16.736,1.151,7020,C3
75329,,194.320875,194.320875,27.02035278,28.02035278,19.936,2.428,132990,
75646,,194.3933333,194.3933333,27.00873611,28.00873611,18.093,1.202,5850,C3
76062,,194.6129167,194.6129167,27.02360833,28.02360833,17.004,1.085,7560,C3
76219,,194.6401667,194.6401667,27.02890278,28.02890278,19.083,1.807,53580,
76348,,194.3395417,194.3395417,27.02315278,28.02315278,16.235,1.451,8010,C3
76901,,194.2881667,194.2881667,27.02972778,28.02972778,18.868,1.117,7020,C3
76941,,194.176875,194.176875,27.03126667,28.03126667,19.068,1.413,7650,C3
77808,,194.1909583,194.1909583,27.03502778,28.03502778,19.315,1.39,89100,
77993,,194.523875,194.523875,27.03520278,28.03520278,18.036,1.488,32280,
78239,,194.086,194.086,27.03810833,28.03810833,19.096,1.95,76200,
78337,,194.4024167,194.4024167,27.03136667,28.03136667,14.773,1.669,7350,C3
79748,,194.30875,194.30875,27.04280833,28.04280833,18.852,1.856,84120,
79897,,194.1814167,194.1814167,27.03494167,28.03494167,15.501,1.416,5610,C3
80748,,194.4862083,194.4862083,27.03756389,28.03756389,15.233,1.503,7470,C3
81706,,194.3875,194.3875,27.05153333,28.05153333,18.38,1.855,60720,
81914,,194.0732083,194.0732083,27.05544722,28.05544722,18.882,1.993,96690,
82129,,194.5509167,194.5509167,27.06244722,28.06244722,19.671,1.314,52650,
82181,,194.28525,194.28525,27.06135833,28.06135833,18.712,1.338,56340,
82350,,194.1752083,194.1752083,27.06115,28.06115,18.644,1.437,7500,C3
83270,,194.1960417,194.1960417,27.05698056,28.05698056,17.573,1.22,6390,C3
83361,,194.4785833,194.4785833,27.05785,28.05785,15.989,1.339,41100,
83599,,194.4177917,194.4177917,27.06734722,28.06734722,18.163,1.247,56580,
83625,,194.633875,194.633875,27.071125,28.071125,18.801,1.738,66480,
83896,,194.632625,194.632625,27.07114167,28.07114167,19.019,1.893,66450,
84995,,194.133625,194.133625,27.05577222,28.05577222,14.814,1.374,6060,C3
85825,,194.4380417,194.4380417,27.071,28.071,18.133,1.747,62430,
85850,,194.2952083,194.2952083,27.07831667,28.07831667,18.368,1.426,62310,
86336,,194.5622083,194.5622083,27.08085833,28.08085833,18.604,1.802,73860,
87518,,194.4639583,194.4639583,27.081025,28.081025,19.136,1.222,7950,C3
87820,,194.1715417,194.1715417,27.08466389,28.08466389,19.511,1.255,62430,
88643,,194.1808333,194.1808333,27.08810833,28.08810833,17.906,1.488,5070,C3
88752,,194.274,194.274,27.08914722,28.08914722,18.229,1.497,7530,C3
89020,,194.1169583,194.1169583,27.09700833,28.09700833,18.25,1.31,51420,
90485,,194.565,194.565,27.08730278,28.08730278,16.352,1.51,7860,C3
90864,,194.3647083,194.3647083,27.10156111,28.10156111,20.206,0.774,5580,C3
91676,,194.571,194.571,27.11066111,28.11066111,18.761,1.401,52560,
92044,,194.46125,194.46125,27.11100556,28.11100556,17.137,1.721,41400,
92047,,194.4380417,194.4380417,27.11868611,28.11868611,19.449,1.71,56580,
92371,,194.2069583,194.2069583,27.09405556,28.09405556,14.405,1.537,6930,C3
92660,,194.299875,194.299875,27.10348056,28.10348056,16.03,1.399,7230,C3
92988,,194.2324167,194.2324167,27.11979444,28.11979444,18.871,1.235,5490,C3
93816,,194.358875,194.358875,27.12525278,28.12525278,19.693,1.401,68430,
93961,,194.1447083,194.1447083,27.12394167,28.12394167,18.052,1.916,63660,
94408,,194.55025,194.55025,27.12764722,28.12764722,16.629,1.461,11670,
95924,,194.4205833,194.4205833,27.12805556,28.12805556,17.98,1.526,5610,C3
96706,,194.0809167,194.0809167,27.13483056,28.13483056,18.302,1.327,36210,
96843,,194.5691667,194.5691667,27.14586389,28.14586389,18.741,1.772,53370,
98249,,194.37425,194.37425,27.15157222,28.15157222,19.528,1.849,84210,
98430,,194.4590833,194.4590833,27.14908333,28.14908333,18.042,1.303,38130,
100492,,194.6017917,194.6017917,27.15753611,28.15753611,18.178,1.95,61260,
101924,,194.4375,194.4375,27.15551667,28.15551667,18.263,1.655,7680,C3
102543,,194.0970417,194.0970417,27.16805,28.16805,18.615,1.252,38250,
102603,,194.2860417,194.2860417,27.17341111,28.17341111,17.814,1.446,6000,C3
103243,,194.1163333,194.1163333,27.17515278,28.17515278,18.663,1.01,8790,C3
103965,,194.6522083,194.6522083,27.18170278,28.18170278,19.391,1.474,63420,
104771,,194.2265833,194.2265833,27.18503889,28.18503889,19.699,1.362,74790,
109889,,194.6552917,194.6552917,27.17649722,28.17649722,14.82,1.061,7710,C3
110804,,194.6240833,194.6240833,27.19268611,28.19268611,17.907,1.552,18120,
111281,,194.083,194.083,27.21633056,28.21633056,19.239,1.415,12120,
111608,,194.3675417,194.3675417,27.22275833,28.22275833,19.317,1.339,68700,
112674,,194.6181667,194.6181667,27.22096667,28.22096667,18.826,1.435,7410,C3
113838,,194.5887917,194.5887917,27.22414722,28.22414722,18.192,1.596,84300,
114490,,194.3073333,194.3073333,27.22454722,28.22454722,17.704,1.299,6870,C3
115034,,194.4807917,194.4807917,27.23204167,28.23204167,17.276,1.372,6420,C3
116331,,194.5047083,194.5047083,27.23481667,28.23481667,19.298,1.209,17940,
117251,,194.144375,194.144375,27.22766667,28.22766667,15.276,1.247,7200,C3
117648,,194.1479583,194.1479583,27.24192778,28.24192778,18.025,1.469,5610,C3
117904,,194.246625,194.246625,27.25155556,28.25155556,18.83,1.728,60840,
121032,,194.5463333,194.5463333,27.25132222,28.25132222,18.81,1.985,84300,
121657,,194.6329167,194.6329167,27.25225,28.25225,18.938,1.442,7590,C3
121680,,194.459625,194.459625,27.270225,28.270225,19.189,1.535,56250,
122239,,194.0760417,194.0760417,27.27308611,28.27308611,19.251,1.799,68820,
122885,,194.6473333,194.6473333,27.26464722,28.26464722,15.248,0.967,7410,C3
123379,,194.2678333,194.2678333,27.27427222,28.27427222,18.08,1.184,20820,
124130,,194.0820833,194.0820833,27.27914167,28.27914167,19.755,1.017,62100,
126125,,194.5450833,194.5450833,27.28336667,28.28336667,19.739,1.356,71760,
127473,,194.1534583,194.1534583,27.28605278,28.28605278,17.779,1.427,26730,
128194,,194.0773333,194.0773333,27.29676111,28.29676111,19.303,1.612,58590,
128526,,194.3466667,194.3466667,27.30256389,28.30256389,19.387,1.089,44430,
128831,,194.1977083,194.1977083,27.29141944,28.29141944,14.284,1.462,7830,C3
130228,,194.13825,194.13825,27.30518333,28.30518333,18.797,1.476,40980,
130251,,194.446375,194.446375,27.30825556,28.30825556,19.088,1.893,90600,
130796,,194.6330417,194.6330417,27.314725,28.314725,17.949,1.775,55950,
131621,,194.1190417,194.1190417,27.29388889,28.29388889,14.669,1.153,7530,C3
138413,,194.394625,194.394625,27.31030833,28.31030833,16.807,1.486,7470,C3
139660,,194.57775,194.57775,27.31065556,28.31065556,15.766,1.181,7470,C3
141717,,194.491625,194.491625,27.35081111,28.35081111,18.023,1.459,8670,C3
143744,,194.365,194.365,27.3573,28.3573,18.777,1.273,20370,
143923,,194.2751667,194.2751667,27.36892222,28.36892222,19.002,1.959,38190,
144401,,194.106,194.106,27.376625,28.376625,19.895,1.254,76950,
144552,,194.2571667,194.2571667,27.37215556,28.37215556,15.182,1.519,6930,C3
144827,,194.6464167,194.6464167,27.38044722,28.38044722,18.309,1.83,35760,
145796,,194.6380833,194.6380833,27.36431667,28.36431667,14.823,1.548,6990,C3
147253,,194.5239583,194.5239583,27.38269444,28.38269444,18.827,1.349,7290,C3
149036,,194.4855,194.4855,27.38231111,28.38231111,16.535,1.483,5250,C3
149407,,194.4993333,194.4993333,27.39199167,28.39199167,18.215,1.535,7380,C3
151225,,194.632,194.632,27.39499444,28.39499444,17.482,1.289,7740,C3
151832,,194.4539583,194.4539583,27.406,28.406,19.334,1.716,84090,
151882,,194.3552083,194.3552083,27.40465833,28.40465833,14.912,1.277,4860,C3
153508,,194.261,194.261,27.41257778,28.41257778,19.072,1.409,7440,C3
154595,,194.3725833,194.3725833,27.41369167,28.41369167,18.351,1.837,37650,
155033,,194.5253333,194.5253333,27.41893889,28.41893889,15.995,1.432,5760,C3
155379,,194.199125,194.199125,27.42106944,28.42106944,15.643,1.398,7710,C3
155689,,194.4405417,194.4405417,27.42933889,28.42933889,15.974,1.277,8400,C3
155948,,194.0970833,194.0970833,27.43094444,28.43094444,19.342,1.354,7920,
156329,,194.4490417,194.4490417,27.43475278,28.43475278,19.027,1.715,84120,
158091,,194.2110833,194.2110833,27.43654722,28.43654722,19.395,1.323,56340,
158296,,194.5855833,194.5855833,27.42942778,28.42942778,16.607,1.319,7500,C3
159473,,194.3408333,194.3408333,27.44675556,28.44675556,19.102,2.028,38070,
160138,,194.486375,194.486375,27.44266667,28.44266667,17.175,1.116,7680,C3
161074,,194.170625,194.170625,27.44776111,28.44776111,17.323,1.503,7230,C3
161247,,194.411375,194.411375,27.4553,28.4553,17.674,1.645,7830,C3
161876,,194.196125,194.196125,27.45725278,28.45725278,18.771,1.416,7290,C3
161882,,194.4324583,194.4324583,27.46149722,28.46149722,18.965,1.35,7200,C3
162274,,194.069625,194.069625,27.44593333,28.44593333,14.886,1.708,6360,C3
163401,,194.262875,194.262875,27.46536111,28.46536111,19.717,1.032,41610,
164198,,194.5636667,194.5636667,27.46465,28.46465,17.615,1.52,7680,C3
162801,,194.233,194.233,27.46245278,28.46245278,17.01,1.464,26850,c3
164859,,194.06975,194.06975,27.47009444,28.47009444,17.134,1.819,69600,
165525,,194.3405,194.3405,27.47500556,28.47500556,16.982,1.687,7440,C3
165617,,194.28925,194.28925,27.46661667,28.46661667,14.144,1.474,7680,C3
165825,,194.3402917,194.3402917,27.48629722,28.48629722,20.275,1.064,30960,C3
166622,,194.5092917,194.5092917,27.48316111,28.48316111,22.619,1.245,8400,
167048,,194.117375,194.117375,27.48320278,28.48320278,18.556,1.183,7260,C3
167531,,194.4005833,194.4005833,27.48488611,28.48488611,14.938,1.599,7350,C3
168689,,194.4615,194.4615,27.49091944,28.49091944,17.312,1.474,7590,C3
169748,,194.5065417,194.5065417,27.48969722,28.48969722,14.499,1.458,18360,C3
176012,,194.5449583,194.5449583,27.50068056,28.50068056,19.26,0.833,4950,
176486,,194.4765833,194.4765833,27.49068611,28.49068611,15.016,1.358,40170,C3
178397,,194.6481667,194.6481667,27.53119722,28.53119722,19.611,1.007,7650,
179115,,194.3775,194.3775,27.54314444,28.54314444,16.612,1.6,6510,C3
179115,,194.4209583,194.4209583,27.5344,28.5344,18.779,1.668,36780,C3
180017,,194.4621667,194.4621667,27.53475833,28.53475833,18.402,1.293,7110,
180308,,194.548625,194.548625,27.54245278,28.54245278,17.632,1.512,5970,C3
180920,,194.660125,194.660125,27.54418611,28.54418611,15.146,1.541,45870,C3
181157,,194.1785833,194.1785833,27.53738056,28.53738056,19.501,1.06,8370,
181166,,194.2679583,194.2679583,27.526025,28.526025,15.971,1.467,7110,C3
162801,,194.1424167,194.1424167,27.53906111,28.53906111,14.455,1.568,7740,C3
181166,,194.1765,194.1765,27.54834167,28.54834167,16.542,1.469,7650,C3
4469,,195.29,,28.58,,17.69,1.88,7452,C3
4479,,195.3,,28.42,,17.51,1.83,5749,C3
4522,,195.31,,28.49,,15.83,1.84,7606,C3
4535,,195.32,,28.45,,17.9,1.95,7653,C3
4579,,195.33,,28.58,,16.72,,4915,C3
4579,,195.33,,28.38,,18.04,1.8,5186,C3
4592,,195.34,,28.62,,16.38,2.09,20220,C3
4597,,195.34,,28.49,,16.37,1.91,4915,C3
4630,,195.35,,28.49,,18.97,1.92,7335,C3
4692,,195.37,,28.43,,17.37,1.74,8318,C3
4714,,195.38,,28.58,,17.54,1.75,7226,C3
4749,,195.39,,28.54,,19.17,1.72,49310,C3
4792,,195.41,,28.49,,16.3,1.91,7173,C3
4794,,195.41,,28.5,,15.26,2.02,7304,C3
,,195.41,,28.49,,,,-154,C3
4825,,195.42,,28.5,,19.34,1.63,19865,C3
4829,,195.42,,28.61,,14.86,1.98,6055,C3
4852,,195.43,,28.55,,18.36,1.97,7694,C3
4858,,195.43,,28.47,,18.78,2.1,38272,C3
4907,,194.51,,28.98,,2.2,1.88,5504,C3
4918,,195.45,,28.41,,16.03,,4811,C3
4928,,195.45,,28.5,,13.51,,7442,C3
4937,,195.45,,28.55,,18.35,1.82,5709,C3
4943,,195.45,,28.5,,15.88,1.83,8203,C3
4956,,195.46,,28.48,,18.52,1.73,6819,C3
5323,,195.47,,23.94,,19.72,2.19,-101,C3
5348,,195.48,,28.47,,15.41,2.19,-354,C3
5038,,195.5,,28.41,,16.14,1.82,6205,C3
5051,,195.5,,28.47,,15.46,2.07,7323,C3
5439,,195.51,,28.55,,18.75,1.68,-202,C3
5102,,195.52,,28.53,,17.5,1.92,8122,C3
5136,,195.53,,28.37,,16.62,2,7012,C3
5284,,195.6,,28.55,,17.98,1.75,7545,C3
5296,,195.61,,28.45,,18.9,1.83,7310,C3
